epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,1136.19,0.70374,1.33578,0.68719,0.99937,0,0.86329,0.73426,0.79262,0.6196,0.882,0.73762,0.79512,0.58384,0.7105,1.38246,0.66425,0.98355,0,0.00096756,0.00096756,0.00096756
44,1160.89,0.69653,1.29644,0.68703,1.00713,0,0.91956,0.69873,0.7897,0.63502,0.90499,0.68582,0.77695,0.58559,0.6578,1.40821,0.65205,0.95454,0,0.000950907,0.000950907,0.000950907
45,1187.37,0.70601,1.32236,0.68929,1.0046,0,0.90779,0.71688,0.79369,0.64676,0.87407,0.73991,0.79604,0.60547,0.64695,1.38339,0.62727,0.95981,0,0.000934253,0.000934253,0.000934253
46,1213.88,0.70211,1.305,0.67602,1.00341,0,0.92411,0.70435,0.78871,0.63074,0.91691,0.69499,0.77898,0.58664,0.71771,1.40782,0.61102,0.97091,0,0.0009176,0.0009176,0.0009176
47,1238.97,0.70338,1.31494,0.68811,1.001,0,0.92762,0.70709,0.78952,0.62772,0.92382,0.70251,0.78574,0.5911,0.67967,1.37375,0.63508,0.9633,0,0.000900947,0.000900947,0.000900947
48,1266.58,0.69919,1.31758,0.68363,0.99659,0,0.93779,0.70737,0.79341,0.62975,0.93779,0.70737,0.79453,0.59386,0.66002,1.34806,0.64072,0.93746,0,0.000884293,0.000884293,0.000884293
49,1293.94,0.70873,1.29079,0.68366,0.99831,0,0.93303,0.70714,0.7935,0.62484,0.919,0.69907,0.78577,0.59245,0.67116,1.31935,0.65182,0.94578,0,0.00086764,0.00086764,0.00086764
50,1320.17,0.70939,1.30529,0.68301,1.00979,0,0.88172,0.70832,0.78251,0.63322,0.88727,0.71168,0.78123,0.60524,0.65349,1.45201,0.65088,0.94767,0,0.000850987,0.000850987,0.000850987
51,1347.15,0.68953,1.28522,0.67284,0.99423,0,0.92939,0.70713,0.79432,0.64072,0.92939,0.70713,0.78635,0.60599,0.6537,1.33105,0.61959,0.94795,0,0.000834333,0.000834333,0.000834333
52,1374.92,0.68209,1.29069,0.66306,0.99604,0,0.93891,0.70188,0.7886,0.62946,0.93298,0.69874,0.78284,0.5966,0.64464,1.33102,0.66593,0.91745,0,0.00081768,0.00081768,0.00081768
53,1401.4,0.67334,1.25498,0.65994,0.9903,0,0.88454,0.72919,0.78936,0.63224,0.88454,0.72919,0.78335,0.58661,0.6494,1.4061,0.63864,0.95088,0,0.000801027,0.000801027,0.000801027
54,1427.47,0.68478,1.27962,0.66587,0.99652,0,0.94149,0.72129,0.7951,0.63963,0.9328,0.71335,0.78238,0.59737,0.63474,1.40291,0.6317,0.92025,0,0.000784374,0.000784374,0.000784374
55,1454.25,0.66522,1.2305,0.64172,0.98184,0,0.8878,0.70596,0.78622,0.61309,0.88424,0.70138,0.77398,0.59074,0.71775,1.40128,0.64788,0.97836,0,0.00076772,0.00076772,0.00076772
56,1481.02,0.67089,1.25974,0.65557,0.98923,0,0.9294,0.73225,0.80223,0.64725,0.90184,0.74342,0.80402,0.61341,0.66443,1.36113,0.59488,0.94529,0,0.000751067,0.000751067,0.000751067
57,1506.55,0.66377,1.25352,0.65921,0.98118,0,0.82829,0.7371,0.78004,0.62558,0.81721,0.7309,0.77202,0.59563,0.63543,1.32221,0.6615,0.93793,0,0.000734414,0.000734414,0.000734414
58,1532.7,0.67819,1.27123,0.65301,0.99574,0,0.83779,0.74555,0.79073,0.6299,0.81239,0.73695,0.77813,0.5991,0.65748,1.33447,0.62528,0.9547,0,0.00071776,0.00071776,0.00071776
59,1559.09,0.6624,1.24434,0.64311,0.98174,0,0.94118,0.68999,0.79192,0.63721,0.86123,0.70923,0.77887,0.60757,0.64592,1.38471,0.63698,0.9504,0,0.000701107,0.000701107,0.000701107
60,1584.83,0.6697,1.26575,0.64771,0.98414,0,0.94821,0.72403,0.79619,0.6486,0.94423,0.71945,0.78085,0.61382,0.62839,1.33601,0.60246,0.9362,0,0.000684454,0.000684454,0.000684454
61,1611.15,0.66674,1.23322,0.6461,0.98339,0,0.8966,0.71342,0.78672,0.63771,0.87795,0.69601,0.77333,0.60272,0.67183,1.36915,0.64141,0.95697,0,0.0006678,0.0006678,0.0006678
62,1638.52,0.66118,1.21342,0.64038,0.98197,0,0.90546,0.72174,0.79045,0.64893,0.88787,0.70841,0.78214,0.60923,0.64925,1.337,0.63602,0.9379,0,0.000651147,0.000651147,0.000651147
63,1663.51,0.65508,1.23194,0.64224,0.98119,0,0.87488,0.74476,0.79546,0.65417,0.86162,0.75333,0.78346,0.6131,0.58125,1.27917,0.64552,0.90099,0,0.000634494,0.000634494,0.000634494
64,1690.15,0.66167,1.24313,0.64987,0.97687,0,0.9332,0.72031,0.78871,0.63739,0.92478,0.71238,0.77326,0.59967,0.63484,1.34222,0.66366,0.93417,0,0.00061784,0.00061784,0.00061784
65,1717.23,0.6479,1.20827,0.62757,0.97842,0,0.93767,0.72045,0.79821,0.6373,0.84455,0.75893,0.78693,0.61408,0.64058,1.29855,0.60295,0.93397,0,0.000601187,0.000601187,0.000601187
66,1742.03,0.65004,1.21239,0.63506,0.97856,0,0.90903,0.72669,0.78734,0.64168,0.89949,0.71905,0.78266,0.60393,0.6154,1.30071,0.59211,0.93224,0,0.000584534,0.000584534,0.000584534
